,Bin-Regression,Restaurants,Shopping centres,Shops,Fairs and Markets,Petrol station,Cafes,Hotels,Wine Cellars & Quintas,Museums & Thematic Centres,Local accommodations,Fado houses,Religious temples,Tea house,Police stations and fire station,"Libraries, archives and documentation centres",Guest houses,Youth hostels,Club,Bar,"Statues, Sculptures & Fountains",Bridges,Monuments,"Casinos, bingo and arcade",Exhibition centers & art galleries,"Hospitals, health centres and clinics",Gardens and Parks,Concert halls,Car assistance,Embassies and consulates,Tourism offices,Rentals,Theatres,Tourist apartments,"Airports, Airfields and Heliports","Spas, saunas and hot springs",Pharmacies,Post offices,Beaches,Car park,Cemeteries,Transport company,Sports facility,View points,Cinema,Citizens advice,Roads and squares,Ice cream parlor,Education,Services
0,"('Autum', 0, '[0-3]')",0.12121624391276872,0.16678654854656919,-0.27551316197100406,-0.10768701768521274,0.03088422048847917,-0.07417150683965028,-0.5147215065658174,0.07412473213803045,-0.2693002075794234,0.21149568593740908,-0.1152182014457297,0.17014808702102893,-0.03703161518984753,0.00704518263899595,0.09358344260445257,-0.07337076978015492,-0.17968433354547692,0.03272555730473385,0.6884042679696238,0.21177330305332526,0.07751285004545284,-0.5405821454975477,0.04371465366721347,-0.09707552285700258,0.2872447992699572,0.14198031219148552,-0.12487621032509226,0.01608348696043929,0.18940006370159496,0.18661386069615443,-0.2637863632938019,-0.0010376827756710075,0.03758023121793565,-0.006148757050227628,-0.08099326756523918,0.22062816076161373,0.016168485084114503,0.6102456769960826,-0.4801384676639721,0.06300110817342981,0.17023659364905203,0.012347734324721494,0.035892259956804604,0.02856455336368515,0.11774651519940112,0.3446494785977027,-0.25696375506052105,-0.10323287262622448,0.17059259609120828
1,"('Autum', 0, '[12-15]')",-0.2873109329408135,0.06364321819542659,-0.3778802920729104,0.33440294541683235,0.4071084236914753,-0.1691623035465702,-0.5368315436910015,0.39015670369065003,-0.596782748590488,0.2864464020009214,0.017010871713713464,-0.13813313232896274,0.23289579376426983,0.17805010137193145,0.265313097540103,-0.1293050612979104,-0.4074390805829742,-0.06296275760275966,0.9795650391524765,-0.06797003940880812,0.04516676900953458,-0.6431115671234062,0.04850028572692816,0.20342746105651252,0.10303961105415764,0.459977964645127,-0.26937863173311594,-0.17080212632741706,0.48384336277541007,0.13655020735943926,-0.5927597790865741,-0.16061502518043044,0.3490817055527483,-0.2454740926510877,-0.242984822381576,0.5520000763847633,-0.03708109757110635,1.0654486978336857,-0.6557946189613997,0.2286837917987383,0.4564558173140938,0.025390572342052806,-0.038260715921925696,-0.016174615487832236,0.10702048298949726,0.38646189976644674,-0.26316332658081826,-0.12554193618740608,0.4085632951142361
2,"('Autum', 0, '[16-19]')",0.15691673116081828,0.1452034880628379,-0.3146379264970461,0.24569679105044598,0.3466480805870196,-0.5347444895117172,-0.7193399076504744,0.4121724705459327,-0.37384817476471127,0.43354729826153254,-0.052972874564554885,0.30006669838620575,0.10124633682569716,0.017633405155095143,0.1295630222880823,-0.20713630251014595,-0.3911590301967364,-0.08244076009913574,1.0938046499773686,0.03254044249843875,0.07395675501548413,-0.7944398913945573,-0.002970917298953293,-0.24736458183449064,0.230927586784873,0.19809235772662145,-0.3874618524262868,-0.09806373925586499,0.49876297677322706,0.13710150747445857,-0.6414689660972193,-0.16143129565437903,0.4028851146808558,-0.28515874773480393,-0.2432285809054864,0.5928209454475453,-0.1738310265688306,1.1891123681618836,-0.4492362293706418,0.25461800261887724,0.23029420834741438,0.10620370564932015,-0.042822792938141375,0.024646835923383754,0.11926467066703068,0.5506306459820783,-0.23257848540590298,-0.04428187265973315,0.47631635536576744
3,"('Autum', 0, '[20-23]')",-0.13121844272518624,0.1665287265612942,-0.4545292146397683,0.10993978705807059,0.206000309610203,-0.16916644250053922,-0.828887758865013,0.2418006636048126,-0.33778758960536226,0.2351922425218865,-0.06534737042617934,0.1751886344923294,0.031284717732299114,0.10881894704329191,0.1735492295200572,-0.10569659435243302,-0.2415876107745229,-0.00719506180937318,1.0404585554057488,0.001733138234117145,0.07362159276058161,-0.594391667409867,0.04563149016982824,-0.0470359391131832,0.2115624827075032,0.2182496661857226,-0.23430483854014258,-0.03787815644188012,0.3628474882276026,0.16476073693606944,-0.5015081303154464,-0.11231598533145967,0.18956036671301987,-0.1387520515210292,-0.1690729112349029,0.6952312747487837,-0.10334616021417213,0.9350778971402274,-0.6293114114349915,0.1789339463352063,0.332533102676022,0.03294148762980422,0.028181628058399275,0.03443450871662823,0.11887391147853356,0.43978671681551296,-0.2983692990721841,-0.04586939498157159,0.3138994126256832
4,"('Autum', 0, '[4-7]')",0.030571139456019875,0.11378907729609536,-0.3484470474717325,-0.006129542730484322,0.028263062556053976,-0.08295342423531687,-0.10115778963239033,0.1285207177665105,-0.3015429145914489,0.07858482317346545,-0.07404779952004939,0.22109633106544202,0.014622768552951212,0.004207539903249366,0.1712297460046475,-0.15457254118873295,-0.2970781678581231,0.018029300046601242,0.7821407037159763,0.1961467337386833,0.06643583787630401,-0.6372717608893524,0.0009691036215551267,-0.1576941806220841,0.29790795604983306,0.1553277985216749,-0.1333599968025609,-0.002974943370271647,0.20293357785092145,0.15172527243104136,-0.3643294141057454,-0.04994230097419027,0.12203602890532303,-0.02926330322119189,-0.1398046616654655,0.26601713398584476,-0.026179245464417935,0.6206397424457835,-0.48047902522439284,0.1276942283839128,0.21652803079025706,0.05255119801745526,0.027659362052469577,0.015203169372501758,0.12589049778600964,0.3047821835123604,-0.270956130579604,-0.06784561655208947,0.19699717763573543
5,"('Autum', 0, '[8-11]')",-0.45430066895769405,0.030101756782304007,-0.4435278464545894,0.33419152595731727,0.351023269269941,-0.05763226194669091,-0.28117601882519483,0.3958699241270532,-0.5870440676666565,0.19636173628462414,-0.009295072656228356,-0.057174543535564025,0.2504509043483337,0.19629596710955963,0.31878325145248326,-0.0803597686611249,-0.5401906259681644,-0.07696714487701242,1.085722182043245,-0.004341134655362774,0.06484791990846214,-0.6900148315088953,0.03383437778708899,0.08345347736638072,0.13734307104129806,0.5208386441325642,-0.27550157273188774,-0.18446458710682484,0.5120445224183668,0.14313298457408774,-0.6381925739964108,-0.18509662442654387,0.40632974096428726,-0.2623384734243299,-0.2850182283190696,0.6622073779888844,-0.06052821192807003,1.1145182171499188,-0.7878305641706577,0.2717630305688855,0.461070923242152,-0.002171136363477529,-0.05026554568168336,-0.008924253491050431,0.11798944518041203,0.3691251608970718,-0.2919130025293501,-0.14001165126243875,0.40150276823666764
6,"('Autum', 1, '[0-3]')",0.32056420758355403,0.2403726671314682,-0.24734528604240522,-0.0949661801744724,-0.07646373955937583,-0.1950820065600943,-1.0128933749027282,0.04778560905095697,-0.37781006075448864,0.012045928491295122,-0.10678909656670793,0.00974430574120572,0.02691276926191726,0.07793462299776205,0.0978457933622974,0.0014752037013541824,-0.21603116965225416,0.11920399861776342,0.638972207715448,0.363952799889712,0.08191903928727909,-0.5273761205297275,0.07969168652594036,-0.19683643397785983,0.3031487749585312,0.2939317800923795,0.005632957223419506,-0.0024770775615511275,0.20453834880706245,0.17544524699985103,-0.14478380016608489,-0.13879584757323787,0.20526757692126738,0.0034615299212363703,-0.08767454888068539,0.49756845502712105,-0.004347805457848559,0.6564729036245358,-0.8199897955793709,0.026152499189135557,0.1871699750088524,0.03626913199331555,0.0899910326502436,0.05505103156407042,0.17040082385692695,0.37592654003767834,-0.28501469861118905,0.07377271697792309,0.19228237798892506
7,"('Autum', 1, '[12-15]')",-0.41460101214204625,0.19007164411926286,-0.11267984642512997,0.21903036337327408,0.17707421393070263,-0.29975367672003883,-0.8309644288806071,0.4701616496577994,-0.4003694314917575,0.2785701870899791,-0.017611120703356988,-0.2934962220443715,0.2465419075461242,0.1798973797291727,0.2398396818233991,-0.14081270338736973,-0.48862756936980867,0.09234564529803148,1.1104836096311737,-0.11194298781156457,0.07279529770709572,-0.8316766328438275,-0.009160911520535227,-0.061532479267383616,0.4553028952965538,0.34944880250705,-0.10059492404583371,-0.18309301588211033,0.5596099314963227,0.1282393445224126,-0.4334038603811806,-0.39520620096012854,0.33201412838863836,-0.28114344328627555,-0.1531648762701963,0.43889900416932937,-0.05933092108474279,1.2670572391840362,-1.0485818054291591,0.3939154102635676,0.7980717294473074,0.12524266462150924,-0.049792874366568145,0.07425158608382294,0.18550539210556438,0.5214895489588832,-0.4284887335738131,0.08325185964806653,0.511183456907738
8,"('Autum', 1, '[16-19]')",-0.4244276639788699,0.2144354992433221,0.053531899008230945,0.22759841835901498,0.19061630109216804,-0.3763752782509652,-1.1210297148551114,0.46242154423408444,-0.42748842760023076,0.4480441496169214,-0.024523769186908028,-0.6550670955491682,0.30207136516398814,0.23060467422508862,0.14946450090212215,-0.09825260124773173,-0.37964783417079384,0.11208433494998618,0.8539963564342774,-0.021254674510893246,0.06181794001961136,-0.8008238228282999,0.0666768323965903,0.06008463436780549,0.4200121931184981,0.47394952519083383,-0.05663469430377428,-0.23549274754368177,0.6010055292929414,0.14769218671386292,-0.504295288018346,-0.44829210489296195,0.39903214170881285,-0.25383054298103136,-0.09574625521565018,0.40774997973842453,-0.0034978251242715483,1.2319409349874695,-1.1152280302092445,0.41908200296972736,0.8249335144979436,0.12863121211907097,-0.07518918964618776,0.06334348596474497,0.1735664815958206,0.6473827473254978,-0.3927380206440573,0.0531596782528485,0.5458515505858513
9,"('Autum', 1, '[20-23]')",-0.32153548552289074,0.21850090880292466,-0.2375357782703462,0.062322381389612345,0.021449756628217936,-0.20710132965055447,-1.1087896379331332,0.2809811907898706,-0.3374456129409084,0.2570537131860204,-0.05500038640335984,-0.14040262017348684,0.0976670907414332,0.1721328911212723,0.14231000189823215,-0.08036975795093387,-0.26776665123988774,0.0888786282627335,0.9217477415187291,-0.0051563765782190185,0.08755214444040305,-0.6850114828458705,0.05459831005212719,0.024883623564245328,0.32106951440954185,0.3144995194851974,-0.08342704271145072,-0.06902937165560948,0.4478954688308376,0.1627516145041239,-0.4881496330261081,-0.3093747796868667,0.24082578925323375,-0.15317421194502256,-0.09172185525675881,0.6722061898722365,-0.013780747411965524,1.0932443083518495,-0.9214339415088626,0.25027089230020433,0.6911567562122132,0.06403185521972958,-0.010800219332398706,0.07788674267641822,0.16465212610378846,0.5552425473253538,-0.3753312671560371,0.03201906469664609,0.3885861860706415
